WindID,SeriesID,SeriesName
S0073099,产量:原油加工量:当月同比,
S0027040,产量:天然气:当月同比,
S0027013,产量:发电量:当月同比,
S0027017,产量:火电:当月同比,
S0027021,产量:水电:当月同比,
S0027102,产量:氢氧化钠(烧碱):累计同比,
S0027162,产量:乙烯:累计同比,
S0027705,产量:水泥:累计同比,
S0027713,产量:平板玻璃:累计同比,
S0027377,产量:粗钢:累计同比,
S0027554,产量:十种有色金属:累计同比,
S0027566,产量:原铝(电解铝):累计同比,
S0243312,产量:工业机器人:累计同比,
S0243313,产量:运动型多用途乘用车(SUV):累计同比,
S0243314,产量:新能源汽车:累计同比,
S0028197,产量:微型电子计算机:累计同比,
S0243316,产量:智能手机:累计同比,
S0028185,产量:集成电路:累计同比,
S0026992,产量:原煤:累计同比,
S0027000,产量:焦炭:累计同比,
S0073169,产量:原油加工量:累计同比,
S0027015,产量:发电量:累计同比,
C1925068,全国高炉开工率,高炉开工率(247家):全国
S6124651,半钢胎开工率,开工率:汽车轮胎:半钢胎
S6124650,全钢胎开工率,开工率:汽车轮胎:全钢胎
S5449386,石油沥青装置开工率,开工率:石油沥青装置
S5417017,PTA负荷率,PTA产业链负荷率:PTA工厂
S5446174,涤纶长丝开工率,开工率:涤纶长丝:下游织机:江浙地区
Z0381034,水泥磨机运转率,磨机运转率:全国
D1081308,水泥发运率,水泥发运率:全国
S5123779,地炼开工率,地炼开工率(常减压开工率):山东地炼厂
S0247603,库存:主要钢材品种:合计,
S5100122,全社会用电量:当月同比,
S5100124,全社会用电量:第一产业:当月同比,
S5100125,全社会用电量:第二产业:当月同比,
S5100126,全社会用电量:第三产业:当月同比,
S5100223,全社会用电量:环比,
S5100226,全社会用电量:第二产业:环比,
S5100227,全社会用电量:第三产业:环比,
投资数据,,
M0061572,固定资产投资环比,固定资产投资完成额:环比:季调
M0000272,固定资产累计值,固定资产投资完成额:累计值
M0000273,固定资产累计同比,固定资产投资完成额:累计同比
M0000276,固定资产投资完成额:第一产业:累计值,
M0000277,固定资产投资完成额:第一产业:累计同比,
M0000278,固定资产投资完成额:第二产业:累计值,
M0000279,固定资产投资完成额:第二产业:累计同比,
M0000280,固定资产投资完成额:第三产业:累计值,
M0000281,固定资产投资完成额:第三产业:累计同比,
S0029656,房地产投资累计值,房地产开发投资完成额:累计值
S0029657,房地产投资累计同比,房地产开发投资完成额:累计同比
M5438207,民间固定资产投资完成额:累计值,
M5438208,民间固定资产投资完成额:累计同比,
M0000342,固定资产投资完成额:采矿业:累计值,
M0000343,固定资产投资完成额:采矿业:累计同比,
M0000356,制造业投资累计值,固定资产投资完成额:制造业:累计值
M0000357,制造业投资累计同比,固定资产投资完成额:制造业:累计同比
M5440434,基建投资累计值,固定资产投资完成额:基础设施建设投资:累计值
M5440435,基建投资累计同比,固定资产投资完成额:基础设施建设投资:累计同比
M5531328,固定资产投资完成额:基础设施建设投资(不含电力):累计同比,
M0000418,电力热力投资累计值,固定资产投资完成额:电力、热力、燃气及水的生产和供应业:累计值
M0000419,电力热力投资累计同比,固定资产投资完成额:电力、热力、燃气及水的生产和供应业:累计同比
M0000428,交运仓储投资累计值,固定资产投资完成额:交通运输、仓储和邮政业:累计值
M0000429,交运仓储投资累计同比,固定资产投资完成额:交通运输、仓储和邮政业:累计同比
M0000454,水利环境投资累计值,固定资产投资完成额:水利、环境和公共设施管理业:累计值
M0000455,水利环境投资累计同比,固定资产投资完成额:水利、环境和公共设施管理业:累计同比
M0000339,固定资产投资完成额:农、林、牧、渔业:累计同比,
M0000359,固定资产投资完成额:制造业:农副食品加工业:累计同比,
M0000361,固定资产投资完成额:制造业:食品制造业:累计同比,
M0000367,固定资产投资完成额:制造业:纺织业:累计同比,
M0000385,固定资产投资完成额:制造业:化学原料及化学制品制造业:累计同比,
M0000387,固定资产投资完成额:制造业:医药制造业:累计同比,
M0000399,固定资产投资完成额:制造业:有色金属冶炼及压延加工业:累计同比,
M0000401,固定资产投资完成额:制造业:金属制品业:累计同比,
M0000403,固定资产投资完成额:制造业:通用设备制造业:累计同比,
M0000405,固定资产投资完成额:制造业:专用设备制造业:累计同比,
M0068555,固定资产投资完成额:制造业:汽车制造业:累计同比,
M0000407,固定资产投资完成额:制造业:铁路、船舶、航空航天和其他运输设备制造业:累计同比,
M0000409,固定资产投资完成额:制造业:电气机械及器材制造业:累计同比,
M0000411,固定资产投资完成额:制造业:计算机、通信和其他电子设备制造业:累计同比,
M0000431,固定资产投资完成额:铁路运输业:累计同比,
M0000433,固定资产投资完成额:道路运输业:累计同比,
M0000457,固定资产投资完成额:水利管理业:累计同比,
M0000461,固定资产投资完成额:公共设施管理业:累计同比,
M0000465,固定资产投资完成额:教育:累计同比,
M0000467,固定资产投资完成额:卫生和社会工作:累计同比,
M0000471,固定资产投资完成额:文化、体育和娱乐业:累计同比,
M0000358,固定资产投资完成额:制造业:农副食品加工业:累计值,
M0000359,固定资产投资完成额:制造业:农副食品加工业:累计同比,
M0000360,固定资产投资完成额:制造业:食品制造业:累计值,
M0000361,固定资产投资完成额:制造业:食品制造业:累计同比,
M0000366,固定资产投资完成额:制造业:纺织业:累计值,
M0000367,固定资产投资完成额:制造业:纺织业:累计同比,
M0000384,固定资产投资完成额:制造业:化学原料及化学制品制造业:累计值,
M0000385,固定资产投资完成额:制造业:化学原料及化学制品制造业:累计同比,
M0000386,固定资产投资完成额:制造业:医药制造业:累计值,
M0000387,固定资产投资完成额:制造业:医药制造业:累计同比,
M0000398,固定资产投资完成额:制造业:有色金属冶炼及压延加工业:累计值,
M0000399,固定资产投资完成额:制造业:有色金属冶炼及压延加工业:累计同比,
M0000400,固定资产投资完成额:制造业:金属制品业:累计值,
M0000401,固定资产投资完成额:制造业:金属制品业:累计同比,
M0000402,固定资产投资完成额:制造业:通用设备制造业:累计值,
M0000403,固定资产投资完成额:制造业:通用设备制造业:累计同比,
M0000404,固定资产投资完成额:制造业:专用设备制造业:累计值,
M0000405,固定资产投资完成额:制造业:专用设备制造业:累计同比,
M0068554,固定资产投资完成额:制造业:汽车制造业:累计值,
M0068555,固定资产投资完成额:制造业:汽车制造业:累计同比,
M0000406,固定资产投资完成额:制造业:铁路、船舶、航空航天和其他运输设备制造业:累计值,
M0000407,固定资产投资完成额:制造业:铁路、船舶、航空航天和其他运输设备制造业:累计同比,
M0000408,固定资产投资完成额:制造业:电气机械及器材制造业:累计值,
M0000409,固定资产投资完成额:制造业:电气机械及器材制造业:累计同比,
M0000410,固定资产投资完成额:制造业:计算机、通信和其他电子设备制造业:累计值,
M0000411,固定资产投资完成额:制造业:计算机、通信和其他电子设备制造业:累计同比,
房地产数据,,
S0029668,房屋施工累计值,房屋施工面积:累计值
S0073290,房屋施工累计同比,房屋施工面积:累计同比
S0029669,房屋新开工累计值,房屋新开工面积:累计值
S0073293,房屋新开工累计同比,房屋新开工面积:累计同比
S0029670,房屋竣工累计值,房屋竣工面积:累计值
S0073297,房屋竣工累计同比,房屋竣工面积:累计同比
S0029666,购置土地面积累计值,本年购置土地面积:累计值
S0073288,购置土地面积累计同比,本年购置土地面积:累计同比
S0073282,本年土地成交价款:累计值,
S0073285,本年土地成交价款:累计同比,
S0029658,商品房销售面积累计值,商品房销售面积:累计值
S0073300,商品房销售面积累计同比,商品房销售面积:累计同比
S0029659,商品房销售金额累计值,商品房销售额:累计值
S0049591,商品房销售金额累计同比,商品房销售额:累计同比
S0029646,房地产开发资金来源:合计:累计值,
S0073244,房地产开发资金来源:合计:累计同比,
S0029648,房地产开发资金来源:国内贷款:累计值,
S0073245,房地产开发资金来源:国内贷款:累计同比,
S0029652,房地产开发资金来源:自筹资金:累计值,
S0073250,房地产开发资金来源:自筹资金:累计同比,
S0029654,房地产开发资金来源:其他资金:累计值,
S0073252,房地产开发资金来源:其他资金:累计同比,
S0029655,房地产开发资金来源:其他资金:定金及预收款:累计值,
S0073253,房地产开发资金来源:其他资金:定金及预收款:累计同比,
S0073241,房地产开发资金来源:其他资金:个人按揭贷款:累计值,
S0073254,房地产开发资金来源:其他资金:个人按揭贷款:累计同比,
S0073242,房地产开发资金来源:各项应付款合计:累计值,
S0073255,房地产开发资金来源:各项应付款合计:累计同比,
S0073261,建筑工程累计值,房地产开发投资完成额:建筑工程:累计值
S0073275,建筑工程累计同比,房地产开发投资完成额:建筑工程:累计同比
S0073262,安装工程累计值,房地产开发投资完成额:安装工程:累计值
S0073276,安装工程累计同比,房地产开发投资完成额:安装工程:累计同比
S0073263,设备购置累计值,房地产开发投资完成额:设备工器具购置:累计值
S0073277,设备购置累计同比,房地产开发投资完成额:设备工器具购置:累计同比
S0073264,其他费用累计值,房地产开发投资完成额:其他费用:累计值
S0073278,其他费用累计同比,房地产开发投资完成额:其他费用:累计同比
S2704485,百城住宅价格同比,百城住宅价格指数:同比
S2707445,一线住宅价格同比,百城住宅价格指数:一线城市:同比
S2707446,二线住宅价格同比,百城住宅价格指数:二线城市:同比
S2707447,三线住宅价格同比,百城住宅价格指数:三线城市:同比
S2700453,百城住宅价格环比,百城住宅价格指数:环比
S2707442,一线住宅价格环比,百城住宅价格指数:一线城市:环比
S2707443,二线住宅价格环比,百城住宅价格指数:二线城市:环比
S2707444,三线住宅价格环比,百城住宅价格指数:三线城市:环比
财政数据,,
M0024063,财政收入,公共财政收入:当月同比
M0024064,财政支出,公共财政支出:当月同比
M0046168,公共财政收入:累计值,
M0046169,公共财政收入:累计同比,
M0046166,公共财政支出:累计值,
M0046167,公共财政支出:累计同比,
M0096879,全国政府性基金收入:累计值,
M0096883,全国政府性基金收入:累计同比,
M0096887,全国政府性基金支出:累计值,
M0096891,全国政府性基金支出:累计同比,
M0024065,税收收入:当月同比,
M0046079,税收收入:国内增值税:当月同比,
M0046080,税收收入:国内消费税:当月同比,
M0046084,税收收入:企业所得税:当月同比,
M0046085,税收收入:个人所得税:当月同比,
M0046081,税收收入:进口环节增值税和消费税:当月同比,
M0046089,税收收入:关税:当月同比,
M0046087,税收收入:城市维护建设税:当月同比,
M0075965,税收收入:车辆购置税:当月同比,
M6823407,税收收入:印花税:当月同比,
M6823408,税收收入:证券交易印花税:当月同比,
M0046086,税收收入:资源税:当月同比,
M0325657,税收收入:契税:当月同比,
M0075969,税收收入:土地增值税:当月同比,
M0046088,税收收入:房产税:当月同比,
M0325658,税收收入:耕地占用税:当月同比,
M0075973,税收收入:城镇土地使用税:当月同比,
M0046132,公共财政支出:教育:当月同比,
M0046133,公共财政支出:科学技术:当月同比,
M6823411,公共财政支出:文化旅游体育与传媒:当月同比,
M0046135,公共财政支出:社会保障和就业:当月同比,
M6823412,公共财政支出:卫生健康:当月同比,
M0046137,公共财政支出:节能环保:当月同比,
M0046138,公共财政支出:城乡社区事务:当月同比,
M0046139,公共财政支出:农林水事务:当月同比,
M0046140,公共财政支出:交通运输:当月同比,
S0035995,货运量,货物周转量总计:累计同比
S0035982,货物周转,货运量总计:累计同比
利润数据,,
M5767811,工业企业:营业收入:累计值,
M5767812,工业企业:营业收入:累计同比,
M0000556,工业企业:利润总额:累计值,
M0000557,工业企业:利润总额:累计同比,
M5767813,工业企业:营业成本:累计值,
M5767814,工业企业:营业成本:累计同比,
M0044687,工业企业:管理费用:累计值,
M0044688,工业企业:管理费用:累计同比,
M0044689,工业企业:销售费用:累计值,
M0044690,工业企业:销售费用:累计同比,
M0044685,工业企业:财务费用:累计值,
M0044686,工业企业:财务费用:累计同比,
M0044702,工业企业:利息费用:累计值,
M0044703,工业企业:利息费用:累计同比,
M0000560,工业企业:产成品存货:累计值,
M0000561,工业企业:产成品存货:累计同比,
S0206717,采矿业:利润总额:累计值,
S0206720,采矿业:利润总额:累计同比,
S0206718,制造业:利润总额:累计值,
S0206721,制造业:利润总额:累计同比,
S0206719,电力、热力、燃气及水的生产和供应业:利润总额:累计值,
S0206722,电力、热力、燃气及水的生产和供应业:利润总额:累计同比,
S0001668,农副食品加工业:利润总额:累计同比,
S0002550,食品制造业:利润总额:累计同比,
S0003684,酒、饮料和精制茶制造业:利润总额:累计同比,
S0004314,烟草制品业:利润总额:累计同比,
S0004482,纺织业:利润总额:累计同比,
S0005616,纺织服装、服饰业:利润总额:累计同比,
S0005784,皮革、毛皮、羽毛及其制品和制鞋业:利润总额:累计同比,
S0006414,木材加工及木、竹、藤、棕、草制品业:利润总额:累计同比,
S0007002,家具制造业:利润总额:累计同比,
S0007254,造纸及纸制品业:利润总额:累计同比,
S0007632,印刷业和记录媒介的复制:利润总额:累计同比,
S0007926,文教、工美、体育和娱乐用品制造业:利润总额:累计同比,
S0008850,石油、煤炭及其他燃料加工业:利润总额:累计同比,
S0009102,化学原料及化学制品制造业:利润总额:累计同比,
S0010866,医药制造业:利润总额:累计同比,
S0011202,化学纤维制造业:利润总额:累计同比,
S0168314,橡胶和塑料制品业:利润总额:累计同比,
S0012546,非金属矿物制品业:利润总额:累计同比,
S0014184,黑色金属冶炼及压延加工业:利润总额:累计同比,
S0014394,有色金属冶炼及压延加工业:利润总额:累计同比,
S0014898,金属制品业:利润总额:累计同比,
S0016242,通用设备制造业:利润总额:累计同比,
S0017964,专用设备制造业:利润总额:累计同比,
S0020694,汽车制造:利润总额:累计同比,
S0020442,铁路、船舶、航空航天和其他运输设备制造业:利润总额:累计同比,
S0021744,电气机械及器材制造业:利润总额:累计同比,
S0023214,计算机、通信和其他电子设备制造业:利润总额:累计同比,
S0024390,仪器仪表制造业:利润总额:累计同比,
S0025566,其他制造业:利润总额:累计同比,
S0026322,废弃资源综合利用业:利润总额:累计同比,
S0168356,金属制品、机械和设备修理业:利润总额:累计同比,
S0026448,电力、热力的生产和供应业:利润总额:累计同比,
S0026784,燃气生产和供应业:利润总额:累计同比,
S0026826,水的生产和供应业:利润总额:累计同比,
新冠病例数,,
G5753533,美国新增病例,美国:确诊病例:新冠肺炎:当日新增
G5753535,德国新增病例,德国:确诊病例:新冠肺炎:当日新增
G5753536,英国新增病例,英国:确诊病例:新冠肺炎:当日新增
G5753538,法国新增病例,法国:确诊病例:新冠肺炎:当日新增
G5753540,意大利新增病例,意大利:确诊病例:新冠肺炎:当日新增
G5753544,西班牙新增病例,西班牙:确诊病例:新冠肺炎:当日新增
G5753602,希腊新增病例,希腊:确诊病例:新冠肺炎:当日新增
gb_IssueAmount,国债月度发行量,
gb_MaturityAmount,国债月度到期量,
gb_NetIssue,国债净发行量,
lgb_IssueAmount,地方债月度发行量,
lgb_MaturityAmount,地方债月度到期量,
lgb_NetIssue,地方债净发行量,
cd_IssueAmount,同业存单月度发行量,
cd_MaturityAmount,同业存单月度到期量,
cd_NetIssue,同业存单净发行量,
自算指标,,
期限利差,,
DR007_DR001_spread,DR007与DR001利差,
R007_DR007_spread,R007与DR007利差,
DR007_OMO7D_spread,DR007与7天OMO利差,
CD1Y_DR007_spread,1年期同业存单与DR007利差,
CD1Y_MLF1Y_spread,1年期同业存单与1年期MLF利差,
GB10Y_OMO7D_spread,10年国债与7天OMO利差,
GB5Y_1Y_spread,5年国债与1年国债利差,
GB10Y_5Y_spread,10年国债与5年国债利差,
GB10Y_1Y_spread,10年国债与1年国债利差,
GB30Y_10Y_spread,30年国债与10年国债利差,
GK10Y_GB10Y_spread,10年国开债与10年国债利差,
shibor1Y_DR007_spread,1年shibor与DR007利差,
shibor1Y_MLF1Y_spread,1年shibor与1年MLF利差,
信用利差,,
AAA1Y_spread,1年期AAA信用利差,
AAA3Y_spread,3年期AAA信用利差,
AAA5Y_spread,5年期AAA信用利差,
AA1Y_spread,1年期AA信用利差,
AA3Y_spread,3年期AA信用利差,
AA5Y_spread,5年期AA信用利差,
AAA_AA5Y_spread,5年期AAA和AA信用利差,
股债估值,,
value_kc50,科创50的市盈率倒数,
value_zz500,中证500的市盈率倒数,
value_hs300,沪深300的市盈率倒数,
value_hs300_wind,沪深300的市盈率倒数-WIND口径,
value_rela,沪深300和10年国债的相对估值,
欧美利差,,
US_EU_1D_spread,美元和欧元隔夜利差,
US_EU_10Y_spread,美元和德国10年期国债利差,
spot_1y,美元兑人民币1年期掉期点,
GB_CN_US_spread,10年国债与10年美债的利差,
tsf_sa,季调后社融,
year,年份,
month,月份,
财务报表数据,,
sec_name,证券简称,
stm_issuingdate,定期报告实际披露日期,
mkt,上市板,
nature1,公司属性,
corpscale,企业规模,
industry_csrc12_n,所属证监会行业名称,
industry_sw,所属申万行业名称,
industry_gics,所属Wind行业名称,
tot_oper_rev,营业总收入,
np_belongto_parcomsh,归属母公司股东的净利润,
roe_ttm2,净资产收益率(TTM),
