WindID,SeriesID,SeriesName
S0114089,SCFI,SCFI:综合指数
M0017129,PMI新出口订单,PMI:新出口订单
M0017133,PMI进口,PMI:进口
G1109322,美国:全部制造业除国防外:新增订单:季调:环比,
G1109312,美国:耐用品除国防外:新增订单:季调:环比,
G1109265,美国:零售和食品服务销售额:总计:季调:环比,
G1120772,美国:现价:折年数:个人消费支出:耐用品:季调,
G1120784,美国:现价:折年数:个人消费支出:非耐用品:季调,
G1120796,美国:现价:折年数:个人消费支出:服务:季调,
G1120773,美国耐用品消费,美国:不变价:折年数:个人消费支出:耐用品:季调
G1120785,美国非耐用品消费,美国:不变价:折年数:个人消费支出:非耐用品:季调
G1120797,美国服务消费,美国:不变价:折年数:个人消费支出:服务:季调
G0900641,欧盟27国:零售销售指数:季调,
G0900612,欧盟27国:工业生产指数:季调,
金融数据,,
M0001380,M0存量,M0
M0001382,M1存量,M1
M0001384,M2存量,M2
M0001381,M0同比,M0:同比
M0001383,M1同比,M1:同比
M0001385,M2同比,M2:同比
M5525763,社融存量同比,社会融资规模存量:同比
M0009970,贷款余额同比,金融机构:各项贷款余额:同比
M5525766,委托贷款同比,社会融资规模存量:委托贷款:同比
M5525767,信托贷款同比,社会融资规模存量:信托贷款:同比
M5525769,企业债券同比,社会融资规模存量:企业债券:同比
M6179510,政府债券同比,社会融资规模存量:政府债券:同比
M0010096,超储率,超额存款准备金率(超储率):金融机构
M0058003,一般贷款利率,金融机构人民币贷款加权平均利率:一般贷款
M0058004,票据融资利率,金融机构人民币贷款加权平均利率:票据融资
M0058005,个人住房贷款利率,金融机构人民币贷款加权平均利率:个人住房贷款
M5206730,新增社融,社会融资规模:当月值
M5206731,新增人民币贷款,社会融资规模:新增人民币贷款:当月值
M0048260,票据融资,金融机构:新增人民币贷款:票据融资:当月值
M0009976,居民贷款,金融机构:新增人民币贷款:居民户:当月值
M0057874,居民短贷,金融机构:新增人民币贷款:居民户:短期:当月值
M0057875,居民长贷,金融机构:新增人民币贷款:居民户:中长期:当月值
M0057876,企业短贷,金融机构:新增人民币贷款:非金融性公司:短期:当月值
M0057877,企业长贷,金融机构:新增人民币贷款:非金融性公司:中长期:当月值
M5540101,非银贷款,金融机构:新增人民币贷款:非银行业金融机构
M5206732,外币贷款,社会融资规模:新增外币贷款:当月值
M5206733,委托贷款,社会融资规模:新增委托贷款:当月值
M5206734,信托贷款,社会融资规模:新增信托贷款:当月值
M5206735,未贴现银承,社会融资规模:新增未贴现银行承兑票据:当月值
M5206736,债券融资,社会融资规模:企业债券融资:当月值
M5206737,股票融资,社会融资规模:非金融企业境内股票融资:当月值
M6179492,政府债券,社会融资规模:政府债券:当月值
M6094226,资产支持证券,社会融资规模:存款类金融机构资产支持证券:当月值
M6094227,贷款核销,社会融资规模:贷款核销:当月值
M0009942,新增人民币存款,金融机构:新增人民币存款:当月值
M0009943,新增居民存款,金融机构:新增人民币存款:居民户:当月值
M0057879,新增企业存款,金融机构:新增人民币存款:非金融性公司:企业:当月值
M0009945,新增财政存款,金融机构:新增人民币存款:财政存款:当月值
M5540102,新增非银存款,金融机构:新增人民币存款:非银行业金融机构
M0062889,大行个人,中资全国性大型银行:人民币:资金来源:各项存款:境内存款:个人存款:结构性存款
M0252073,大行单位,中资全国性大型银行:人民币:资金来源:各项存款:境内存款:单位存款:结构性存款
M0062897,小行个人,中资全国性中小型银行:人民币:资金来源:各项存款:境内存款:个人存款:结构性存款
M0252083,小行单位,中资全国性中小型银行:人民币:资金来源:各项存款:境内存款:单位存款:结构性存款
M5525755,社会融资规模存量,
M5525756,社会融资规模存量:人民币贷款,
M5525758,社会融资规模存量:委托贷款,
M5525759,社会融资规模存量:信托贷款,
M5525760,社会融资规模存量:未贴现银行承兑汇票,
M5525761,社会融资规模存量:企业债券,
M5525762,社会融资规模存量:非金融企业境内股票,
M6179494,社会融资规模存量:政府债券,
消费数据,,
M0001428,社会消费品零售总额:当月同比,
M0061657,社会消费品零售总额:城镇:当月同比,
M0061658,社会消费品零售总额:乡村:当月同比,
M0061659,社会消费品零售总额:商品零售:当月同比,
M0061660,社会消费品零售总额:餐饮收入:当月同比,
M6451628,社会消费品零售总额:除汽车以外的消费品零售额:当月同比,
M5201391,限额以上企业消费品零售总额:当月同比,
